nohup: ignoring input
Using device cuda:0
Directory ../models already exists.
Parameters of loaded LocalRetro:
{'attention_heads': 8, 'attention_layers': 1, 'batch_size': 16, 'edge_hidden_feats': 64, 'node_out_feats': 320, 'num_step_message_passing': 6, 'activation': 'gelu', 'AtomTemplate_n': 124, 'BondTemplate_n': 547, 'in_node_feats': 80, 'in_edge_feats': 13}
../models/LocalRetro_USPTO_50K.pth exists, want to (a) overlap (b) continue from checkpoint (c) make a new model?Traceback (most recent call last):
  File "/workspace/LocalRetro/scripts/Train.py", line 95, in <module>
    main(args)
  File "/workspace/LocalRetro/scripts/Train.py", line 60, in main
    model, loss_criterion, optimizer, scheduler, stopper = load_model(args)   
  File "/workspace/LocalRetro/scripts/utils.py", line 102, in load_model
    user_answer = input('%s exists, want to (a) overlap (b) continue from checkpoint (c) make a new model?' % args['model_path'])
OSError: [Errno 9] Bad file descriptor
Using device cuda:0
Directory ../models already exists.
Parameters of loaded LocalRetro:
{'attention_heads': 8, 'attention_layers': 1, 'batch_size': 16, 'edge_hidden_feats': 64, 'node_out_feats': 320, 'num_step_message_passing': 6, 'activation': 'gelu', 'AtomTemplate_n': 124, 'BondTemplate_n': 547, 'in_node_feats': 80, 'in_edge_feats': 13}
Loading previously saved dgl graphs...

epoch 1/50, batch 2161/2501, loss 0.1551
epoch 1/50, batch 2181/2501, loss 0.0308
epoch 1/50, batch 2201/2501, loss 0.0555
epoch 1/50, batch 2221/2501, loss 0.0652
epoch 1/50, batch 2241/2501, loss 0.0532
epoch 1/50, batch 2261/2501, loss 0.0371
epoch 1/50, batch 2281/2501, loss 0.0573
epoch 1/50, batch 2301/2501, loss 0.0694
epoch 1/50, batch 2321/2501, loss 0.0542
epoch 1/50, batch 2341/2501, loss 0.0302
epoch 1/50, batch 2361/2501, loss 0.0837
epoch 1/50, batch 2381/2501, loss 0.0608
epoch 1/50, batch 2401/2501, loss 0.0493
epoch 1/50, batch 2421/2501, loss 0.0863
epoch 1/50, batch 2441/2501, loss 0.1050
epoch 1/50, batch 2461/2501, loss 0.0578
epoch 1/50, batch 2481/2501, loss 0.0613
epoch 1/50, batch 2501/2501, loss 0.0713
epoch 1/50, training loss: 0.1070
epoch 1/50, validation loss: 0.0569
epoch 1/50, Best loss: 0.0569

epoch 2/50, batch 1/2501, loss 0.0406
epoch 2/50, batch 21/2501, loss 0.0451
epoch 2/50, batch 41/2501, loss 0.0588
epoch 2/50, batch 61/2501, loss 0.0500
epoch 2/50, batch 81/2501, loss 0.0423
epoch 2/50, batch 101/2501, loss 0.0719
epoch 2/50, batch 121/2501, loss 0.0614
epoch 2/50, batch 141/2501, loss 0.0909
epoch 2/50, batch 161/2501, loss 0.0578
epoch 2/50, batch 181/2501, loss 0.0514
epoch 2/50, batch 201/2501, loss 0.0494
epoch 2/50, batch 221/2501, loss 0.0627
epoch 2/50, batch 241/2501, loss 0.0522
epoch 2/50, batch 261/2501, loss 0.0601
epoch 2/50, batch 281/2501, loss 0.0438
epoch 2/50, batch 301/2501, loss 0.0550
epoch 2/50, batch 321/2501, loss 0.0996
epoch 2/50, batch 341/2501, loss 0.0658
epoch 2/50, batch 361/2501, loss 0.0781
epoch 2/50, batch 381/2501, loss 0.0481
epoch 2/50, batch 401/2501, loss 0.0457
epoch 2/50, batch 421/2501, loss 0.0477
epoch 2/50, batch 441/2501, loss 0.0526
epoch 2/50, batch 461/2501, loss 0.0428
epoch 2/50, batch 481/2501, loss 0.0552
epoch 2/50, batch 501/2501, loss 0.0393
epoch 2/50, batch 521/2501, loss 0.0334
epoch 2/50, batch 541/2501, loss 0.0533
epoch 2/50, batch 561/2501, loss 0.0404
epoch 2/50, batch 581/2501, loss 0.0376
epoch 2/50, batch 601/2501, loss 0.0459
epoch 2/50, batch 621/2501, loss 0.0351
epoch 2/50, batch 641/2501, loss 0.0422
epoch 2/50, batch 661/2501, loss 0.0509
epoch 2/50, batch 681/2501, loss 0.0443
epoch 2/50, batch 701/2501, loss 0.1424
epoch 2/50, batch 721/2501, loss 0.0392
epoch 2/50, batch 741/2501, loss 0.0682
epoch 2/50, batch 761/2501, loss 0.0411
epoch 2/50, batch 781/2501, loss 0.0453
epoch 2/50, batch 801/2501, loss 0.0639
epoch 2/50, batch 821/2501, loss 0.0395
epoch 2/50, batch 841/2501, loss 0.0716
epoch 2/50, batch 861/2501, loss 0.0642
epoch 2/50, batch 881/2501, loss 0.0699
epoch 2/50, batch 901/2501, loss 0.0436
epoch 2/50, batch 921/2501, loss 0.0394
epoch 2/50, batch 941/2501, loss 0.0561
epoch 2/50, batch 961/2501, loss 0.0603
epoch 2/50, batch 981/2501, loss 0.0680
epoch 2/50, batch 1001/2501, loss 0.0703
epoch 2/50, batch 1021/2501, loss 0.0614
epoch 2/50, batch 1041/2501, loss 0.0724
epoch 2/50, batch 1061/2501, loss 0.0528
epoch 2/50, batch 1081/2501, loss 0.0411
epoch 2/50, batch 1101/2501, loss 0.0410
epoch 2/50, batch 1121/2501, loss 0.0555
epoch 2/50, batch 1141/2501, loss 0.0613
epoch 2/50, batch 1161/2501, loss 0.0590
epoch 2/50, batch 1181/2501, loss 0.0589
epoch 2/50, batch 1201/2501, loss 0.0684
epoch 2/50, batch 1221/2501, loss 0.0476
epoch 2/50, batch 1241/2501, loss 0.0488
epoch 2/50, batch 1261/2501, loss 0.0486
epoch 2/50, batch 1281/2501, loss 0.0480
epoch 2/50, batch 1301/2501, loss 0.0398
epoch 2/50, batch 1321/2501, loss 0.0433
epoch 2/50, batch 1341/2501, loss 0.0495
epoch 2/50, batch 1361/2501, loss 0.1132
epoch 2/50, batch 1381/2501, loss 0.0426
epoch 2/50, batch 1401/2501, loss 0.0637
epoch 2/50, batch 1421/2501, loss 0.0458
epoch 2/50, batch 1441/2501, loss 0.0495
epoch 2/50, batch 1461/2501, loss 0.0420
epoch 2/50, batch 1481/2501, loss 0.0728
epoch 2/50, batch 1501/2501, loss 0.0588
epoch 2/50, batch 1521/2501, loss 0.0495
epoch 2/50, batch 1541/2501, loss 0.0575
epoch 2/50, batch 1561/2501, loss 0.0600
epoch 2/50, batch 1581/2501, loss 0.0411
epoch 2/50, batch 1601/2501, loss 0.0379
epoch 2/50, batch 1621/2501, loss 0.0362
epoch 2/50, batch 1641/2501, loss 0.0287
epoch 2/50, batch 1661/2501, loss 0.0570
epoch 2/50, batch 1681/2501, loss 0.0384
epoch 2/50, batch 1701/2501, loss 0.0596
epoch 2/50, batch 1721/2501, loss 0.0558
epoch 2/50, batch 1741/2501, loss 0.0356
epoch 2/50, batch 1761/2501, loss 0.0318
epoch 2/50, batch 1781/2501, loss 0.0523
epoch 2/50, batch 1801/2501, loss 0.0366
epoch 2/50, batch 1821/2501, loss 0.0608
epoch 2/50, batch 1841/2501, loss 0.0636
epoch 2/50, batch 1861/2501, loss 0.0909
epoch 2/50, batch 1881/2501, loss 0.0391
epoch 2/50, batch 1901/2501, loss 0.0485
epoch 2/50, batch 1921/2501, loss 0.0354
epoch 2/50, batch 1941/2501, loss 0.0748
epoch 2/50, batch 1961/2501, loss 0.0380
epoch 2/50, batch 1981/2501, loss 0.0422
epoch 2/50, batch 2001/2501, loss 0.0270
epoch 2/50, batch 2021/2501, loss 0.0442
epoch 2/50, batch 2041/2501, loss 0.0536
epoch 2/50, batch 2061/2501, loss 0.0668
epoch 2/50, batch 2081/2501, loss 0.0468
epoch 2/50, batch 2101/2501, loss 0.0515
epoch 2/50, batch 2121/2501, loss 0.0475
epoch 2/50, batch 2141/2501, loss 0.0429
epoch 2/50, batch 2161/2501, loss 0.0546
epoch 2/50, batch 2181/2501, loss 0.0384
epoch 2/50, batch 2201/2501, loss 0.0431
epoch 2/50, batch 2221/2501, loss 0.0598
epoch 2/50, batch 2241/2501, loss 0.0534
epoch 2/50, batch 2261/2501, loss 0.0481
epoch 2/50, batch 2281/2501, loss 0.0453
epoch 2/50, batch 2301/2501, loss 0.0422
epoch 2/50, batch 2321/2501, loss 0.0462
epoch 2/50, batch 2341/2501, loss 0.0309
epoch 2/50, batch 2361/2501, loss 0.0344
epoch 2/50, batch 2381/2501, loss 0.0426
epoch 2/50, batch 2401/2501, loss 0.0427
epoch 2/50, batch 2421/2501, loss 0.1122
epoch 2/50, batch 2441/2501, loss 0.0451
epoch 2/50, batch 2461/2501, loss 0.0451
epoch 2/50, batch 2481/2501, loss 0.1017
epoch 2/50, batch 2501/2501, loss 0.0405
epoch 2/50, training loss: 0.0534
epoch 2/50, validation loss: 0.0471
epoch 2/50, Best loss: 0.0471

